V1,V2
1,100
2,100
3,33
3,100
4,6
4,31
4,53
4,66
4,76
4,135
4,139
4,147
4,152
4,153
4,166
4,183
5,51
5,76
5,135
5,138
5,198
6,11
6,19
6,31
6,53
6,66
6,84
6,85
6,87
6,113
6,115
6,147
6,174
6,183
6,197
6,218
6,224
6,226
7,13
7,80
8,9
8,49
8,50
8,52
8,69
8,175
8,198
9,31
9,35
9,45
9,50
9,52
9,57
9,79
9,98
9,131
9,174
9,175
9,177
9,184
9,197
9,198
9,200
9,238
10,31
10,33
10,40
10,59
10,85
10,92
10,96
10,105
10,106
10,107
10,108
10,119
10,147
10,153
10,155
10,183
11,31
11,35
11,91
11,98
11,147
11,192
11,198
11,218
11,233
12,244
13,80
14,21
14,30
14,31
14,40
14,43
14,45
14,51
14,52
14,56
14,85
14,88
14,92
14,93
14,102
14,105
14,116
14,117
14,120
14,125
14,143
14,144
14,147
14,161
14,169
14,188
14,236
14,263
14,268
14,269
15,19
15,28
15,31
15,36
15,40
15,41
15,56
15,67
15,81
15,85
15,112
15,115
15,142
15,147
15,152
15,160
15,187
15,189
15,192
16,42
16,46
17,31
17,76
17,88
17,123
17,132
17,137
17,140
17,167
17,186
17,273
18,31
18,39
18,47
18,53
18,54
18,60
18,85
18,147
19,24
19,27
19,28
19,31
19,39
19,40
19,41
19,52
19,63
19,71
19,85
19,87
19,92
19,103
19,104
19,112
19,115
19,126
19,127
19,147
19,158
19,161
19,182
20,24
20,31
20,41
20,81
20,86
20,130
20,138
20,141
20,174
20,208
21,31
21,51
21,62
21,74
21,78
21,82
21,88
21,113
21,116
21,134
21,144
21,153
21,184
21,236
21,242
21,246
21,266
21,268
22,31
22,36
22,44
22,52
22,53
22,74
22,85
22,147
23,31
23,80
23,87
23,93
23,166
23,239
24,31
24,36
24,39
24,40
24,49
24,52
24,65
24,85
24,103
24,127
24,141
24,147
24,153
24,173
24,178
24,179
24,208
24,209
24,231
24,277
25,57
25,75
25,149
25,154
25,164
25,165
25,174
25,197
26,32
26,131
26,194
26,248
26,257
27,31
27,41
27,43
27,59
27,63
27,65
27,78
27,83
27,84
27,85
27,87
27,90
27,104
27,112
27,119
27,126
27,147
27,161
27,181
27,213
27,227
28,36
28,40
28,56
28,67
28,85
28,112
28,115
28,142
28,147
28,160
28,189
29,31
29,75
29,168
29,171
29,172
30,31
30,40
30,43
30,85
30,92
30,105
30,116
30,118
30,147
30,211
30,263
31,33
31,34
31,36
31,39
31,40
31,41
31,42
31,43
31,44
31,45
31,47
31,48
31,49
31,50
31,52
31,53
31,54
31,55
31,56
31,57
31,59
31,60
31,63
31,64
31,65
31,66
31,71
31,74
31,76
31,78
31,81
31,82
31,83
31,84
31,85
31,86
31,87
31,88
31,89
31,90
31,92
31,93
31,94
31,95
31,96
31,97
31,99
31,101
31,102
31,103
31,104
31,105
31,106
31,107
31,108
31,112
31,113
31,114
31,115
31,116
31,117
31,118
31,119
31,120
31,122
31,123
31,125
31,126
31,127
31,128
31,130
31,131
31,133
31,135
31,137
31,139
31,141
31,142
31,143
31,146
31,147
31,150
31,152
31,153
31,154
31,155
31,156
31,159
31,161
31,162
31,166
31,168
31,169
31,171
31,172
31,173
31,174
31,175
31,176
31,178
31,179
31,180
31,181
31,182
31,183
31,185
31,186
31,187
31,189
31,190
31,192
31,193
31,194
31,196
31,197
31,201
31,202
31,205
31,207
31,208
31,209
31,210
31,211
31,212
31,213
31,214
31,220
31,222
31,224
31,226
31,227
31,231
31,232
31,235
31,238
31,239
31,241
31,246
31,253
31,254
31,256
31,257
31,259
31,260
31,263
31,264
31,265
31,267
31,269
31,270
31,273
31,274
31,275
31,277
31,278
31,282
32,39
32,56
32,85
32,90
32,109
32,131
32,147
32,150
32,182
32,185
33,92
33,100
33,107
33,153
33,155
33,183
34,35
34,42
34,51
34,52
34,55
34,69
34,85
34,87
34,88
34,98
34,99
34,128
34,147
34,151
34,153
34,176
34,192
34,205
34,210
34,212
34,227
34,246
35,48
35,71
35,86
35,91
35,98
35,99
35,109
35,118
35,125
35,128
35,132
35,141
35,146
35,155
35,162
35,175
35,184
35,192
35,198
35,200
35,224
35,233
35,238
35,255
36,38
36,40
36,41
36,44
36,52
36,53
36,56
36,67
36,69
36,85
36,89
36,103
36,105
36,115
36,116
36,120
36,127
36,142
36,147
36,160
36,171
36,172
36,178
36,189
37,72
38,69
38,204
39,40
39,53
39,54
39,60
39,65
39,71
39,85
39,87
39,92
39,112
39,115
39,147
39,179
39,182
39,231
39,235
40,42
40,43
40,44
40,52
40,55
40,56
40,59
40,85
40,89
40,92
40,96
40,103
40,105
40,106
40,112
40,115
40,116
40,127
40,147
40,171
40,172
40,189
40,263
41,51
41,56
41,63
41,67
41,81
41,85
41,104
41,112
41,114
41,120
41,126
41,130
41,141
41,147
41,152
41,161
41,179
41,187
41,192
41,208
41,214
41,226
41,270
42,46
42,51
42,55
42,85
42,99
42,122
42,133
42,147
42,206
43,56
43,59
43,83
43,84
43,85
43,87
43,90
43,118
43,147
43,196
43,263
44,56
44,74
44,89
44,105
44,116
44,117
44,147
44,171
44,172
44,189
44,222
45,56
45,57
45,79
45,102
45,109
45,131
45,143
45,177
45,212
45,269
46,206
47,64
47,88
47,144
47,151
47,232
47,238
48,51
48,66
48,86
48,108
48,132
48,141
48,154
48,175
48,221
49,57
49,69
49,107
49,147
49,153
49,209
50,52
50,175
50,197
50,198
51,52
51,55
51,61
51,66
51,67
51,70
51,76
51,81
51,82
51,85
51,86
51,88
51,99
51,110
51,113
51,114
51,116
51,131
51,132
51,134
51,135
51,136
51,140
51,161
51,164
51,165
51,178
51,197
51,198
51,214
51,216
51,220
51,221
51,226
51,242
51,245
51,266
51,272
52,53
52,60
52,64
52,78
52,84
52,85
52,87
52,88
52,89
52,97
52,99
52,101
52,103
52,107
52,109
52,119
52,120
52,127
52,128
52,142
52,159
52,161
52,162
52,168
52,175
52,179
52,183
52,189
52,192
52,197
52,205
52,210
52,226
52,246
52,255
52,256
52,265
52,278
53,54
53,60
53,66
53,85
53,147
53,183
54,58
54,60
54,76
54,77
54,85
54,86
54,111
54,132
54,135
54,140
54,147
54,175
54,182
54,190
54,218
54,219
54,221
54,245
54,257
54,270
55,85
55,99
55,133
55,147
56,67
56,71
56,81
56,85
56,89
56,99
56,102
56,105
56,115
56,116
56,142
56,143
56,147
56,152
56,155
56,160
56,171
56,172
56,176
56,187
56,189
56,192
56,212
56,218
56,258
56,261
56,269
57,107
57,121
57,131
57,147
57,174
57,177
57,197
57,246
58,84
58,85
58,87
58,90
58,104
58,144
58,161
58,170
58,175
58,197
58,218
58,219
58,245
59,83
59,84
59,85
59,87
59,90
59,96
59,106
59,147
60,64
60,84
60,85
60,87
60,119
60,128
60,147
60,174
60,210
60,246
61,70
61,86
61,88
61,110
61,136
61,144
61,151
61,178
62,184
62,266
62,268
63,85
63,90
63,104
63,107
63,112
63,123
63,126
63,131
63,147
63,161
63,232
63,245
64,85
64,88
64,109
64,119
64,128
64,144
64,151
64,162
64,210
64,232
64,235
64,246
64,255
65,78
65,85
65,101
65,105
65,119
65,147
65,179
65,181
65,231
66,71
66,130
66,132
66,138
66,144
66,147
66,176
66,180
66,183
66,197
66,198
66,221
67,81
67,85
67,114
67,115
67,142
67,147
67,160
67,189
67,214
67,226
68,153
68,213
69,98
70,86
70,88
70,110
70,136
70,144
70,151
70,178
71,85
71,87
71,112
71,131
71,143
71,146
71,155
71,182
71,218
72,131
72,141
72,177
72,209
72,247
72,252
73,188
74,78
74,83
74,116
74,153
74,246
75,164
75,165
75,168
75,171
75,172
76,82
76,99
76,105
76,116
76,123
76,135
76,139
76,147
76,152
76,153
76,166
76,167
76,173
76,182
76,183
76,190
76,198
76,216
76,220
76,267
76,272
77,111
77,124
77,147
77,201
77,257
78,85
78,90
78,105
78,113
78,116
78,119
78,125
78,147
78,152
78,153
78,179
78,180
78,181
78,189
78,246
79,98
79,109
81,85
81,114
81,130
81,141
81,147
81,152
81,187
81,192
81,208
81,214
81,226
82,88
82,114
82,116
82,134
82,139
82,197
82,214
82,226
82,242
82,266
83,84
83,85
83,87
83,90
83,126
83,147
84,85
84,86
84,87
84,90
84,120
84,144
84,147
84,168
84,170
84,174
84,175
84,197
84,205
84,224
84,226
84,238
84,239
85,87
85,88
85,90
85,92
85,93
85,99
85,101
85,102
85,104
85,105
85,108
85,112
85,113
85,115
85,116
85,117
85,119
85,120
85,125
85,126
85,128
85,139
85,142
85,144
85,147
85,152
85,160
85,161
85,162
85,169
85,170
85,174
85,175
85,179
85,181
85,182
85,187
85,189
85,192
85,197
85,205
85,210
85,226
85,227
85,231
85,235
85,239
85,246
86,87
86,88
86,110
86,132
86,136
86,138
86,141
86,144
86,151
86,174
86,175
86,178
86,202
86,207
86,221
86,226
86,232
86,238
86,257
87,90
87,99
87,112
87,120
87,128
87,144
87,147
87,153
87,168
87,170
87,174
87,175
87,182
87,192
87,197
87,205
87,210
87,213
87,224
87,226
87,227
87,238
87,239
87,246
88,110
88,116
88,131
88,134
88,136
88,137
88,144
88,147
88,151
88,161
88,178
88,226
88,232
88,238
88,242
88,245
88,266
88,273
89,105
89,107
89,116
89,127
89,147
89,156
89,171
89,172
89,183
89,189
90,104
90,105
90,109
90,113
90,123
90,131
90,147
90,161
90,245
91,98
91,192
91,198
91,233
92,105
92,107
92,112
92,115
92,116
92,147
92,153
92,155
92,183
93,117
93,125
93,147
93,163
93,166
93,169
94,194
96,104
96,106
96,183
96,231
97,106
97,230
97,256
98,198
98,233
99,123
99,135
99,143
99,153
99,155
99,192
99,205
99,216
99,220
99,246
99,253
99,272
101,105
101,142
101,147
101,226
102,120
102,143
102,147
102,269
103,127
103,178
103,186
104,112
104,126
104,147
104,161
104,183
104,231
105,108
105,113
105,116
105,118
105,119
105,147
105,171
105,172
105,189
105,211
106,159
106,230
106,234
106,240
107,127
107,147
107,153
107,155
107,183
107,232
108,119
108,130
108,141
108,147
108,154
108,175
108,226
109,118
109,125
109,128
109,147
109,162
109,192
109,210
109,224
109,255
110,136
110,144
110,151
110,178
111,124
111,147
111,191
111,228
111,257
111,262
111,271
112,115
112,126
112,147
112,161
112,182
113,134
113,147
113,174
113,197
114,147
114,197
114,214
114,226
114,274
114,275
115,142
115,147
115,160
115,189
116,147
116,153
116,171
116,172
116,189
116,246
117,125
117,147
117,169
117,193
117,222
118,147
118,196
118,211
119,128
119,147
119,181
119,210
119,246
120,147
120,168
121,147
121,246
122,147
122,220
122,264
123,131
123,150
123,167
123,185
123,245
123,253
124,145
124,283
124,284
125,128
125,147
125,162
125,169
125,192
125,224
125,255
126,147
126,161
126,241
127,178
127,183
128,139
128,147
128,153
128,162
128,192
128,210
128,224
128,246
128,255
129,147
129,209
130,138
130,141
130,197
130,208
130,226
131,141
131,146
131,177
131,245
132,141
132,175
132,186
132,221
133,147
133,252
134,242
134,266
135,139
135,147
135,152
135,153
135,166
135,182
135,183
135,190
135,198
135,216
135,220
135,272
136,144
136,151
136,178
137,140
137,169
137,273
138,174
138,197
139,147
139,152
139,153
139,162
139,166
139,183
139,210
140,149
140,157
140,164
140,165
140,167
140,270
141,154
141,175
141,177
141,208
142,147
142,160
142,189
142,226
143,155
143,218
143,269
144,151
144,170
144,175
144,178
144,197
144,198
144,226
144,232
144,236
144,238
144,268
145,283
145,284
146,155
147,152
147,153
147,156
147,160
147,161
147,166
147,169
147,171
147,172
147,174
147,176
147,179
147,180
147,181
147,183
147,187
147,189
147,192
147,196
147,205
147,208
147,210
147,211
147,213
147,214
147,218
147,220
147,227
147,231
147,235
147,239
147,241
147,246
147,257
147,259
147,260
147,263
147,264
147,270
147,274
147,275
147,276
148,260
149,157
149,164
149,165
150,185
151,178
151,227
151,232
152,153
152,166
152,183
152,187
152,192
153,155
153,166
153,183
153,209
153,210
153,246
154,174
154,175
155,183
157,224
157,278
160,189
162,192
162,210
162,224
162,255
164,165
164,167
165,167
166,183
168,171
168,172
168,220
169,273
170,175
170,197
171,172
171,189
172,189
173,184
173,209
173,227
173,267
173,277
174,197
175,197
175,219
175,221
176,180
176,212
176,246
176,258
176,261
176,280
177,230
177,243
177,249
179,189
179,208
179,214
179,231
179,270
180,181
180,215
181,281
182,186
182,190
183,231
184,198
184,200
184,227
184,238
184,268
185,187
187,192
191,228
191,262
191,271
192,198
192,205
192,224
192,255
194,257
195,229
195,279
197,214
197,226
198,200
198,238
199,238
199,248
199,251
199,252
200,238
201,224
202,207
203,204
205,239
208,214
208,270
209,216
209,252
209,277
210,246
210,255
212,246
212,258
212,261
212,269
213,227
213,239
214,226
214,270
216,220
216,272
217,273
218,245
220,264
220,272
223,237
224,225
224,226
224,255
224,278
225,278
226,231
226,232
229,252
230,243
230,249
233,237
234,240
235,238
236,268
238,248
238,251
238,252
239,244
242,266
243,249
248,251
248,252
250,254
251,252
256,278
258,261
259,260
262,271
265,278
266,268
274,275
283,284
